Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;    pmRA;    pmDe;    RV  ; References          ;Comments
MAF 1                 ;Eri ; 68.49333300 ; -8.8494440 ;Op   ;Str   ; 1560.0;    164;        ;        ;        ; arXiv:1901.06387v1  ;check - missing PMs
IC 2118 Assoc         ;Eri ; 76.50000000 ; -7.8000000 ;IR   ;YAs   ;  250.0;    210;        ;        ;        ; Alessi              ;?Rigel
Theia 203             ;Gem ; 91.95659120 ;+24.7124745 ;Op   ;Asc   ; 1260.1;    843;    2.34;   -3.08;   -0.05; 2019AJ....158..122K ;2 condensations
Majaess 231           ;Gem ;106.02500000 ;+20.5702780 ;Op   ;OB?   ;  300.0;    540;        ;        ;        ; Alessi              ;Zeta Gem Cl, ?Theia 1118
TW Hya Assoc          ;Hya ;165.46625000 ;-34.7047220 ;Op   ;YAs   ; 2500.0;     65;        ;        ;        ; Alessi              ;check - missing PMs
Theia 108             ;Lac ;341.00298890 ;+45.1794809 ;Op   ;Str   ;  562.1;    620;   -0.74;   -3.69;   -9.78; 2019AJ....158..122K ;3 well separated condensations
Theia 81              ;Lac ;341.59291850 ;+40.4545413 ;Op   ;Str   ; 1060.1;    472;   -1.38;   -5.32;  -11.00; 2019AJ....158..122K ;check
Theia 388             ;Lac ;342.09501060 ;+49.7850371 ;Op   ;Str   ; 1021.9;    554;    2.12;   -1.03;   -8.64; 2019AJ....158..122K ;2 condensations
Theia 83              ;Lep ; 91.42617600 ;-14.7425004 ;Op   ;Asc   ;  749.1;    613;   -2.46;    1.44;   32.39; 2019AJ....158..122K ;2 condensations
Upper Cen Lup         ;Lup ;229.23000000 ;-38.5300000 ;Op   ;OB    ; 1116.0;    144;  -20.30;  -23.50;    2.20; 2012AstL...38..331A ;includes OPD 8, OPD 18, OPD 24, OPD 54, OPD 99, UPK 622, UPK 632
UCL-4                 ;Lup ;229.75916700 ;-37.7430560 ;Op   ;OB    ;  160.0;    149;        ;        ;        ; Alessi              ;in OPD 18
UCL-3                 ;Lup ;231.69916700 ;-36.3272220 ;Op   ;OB    ;  140.0;    149;        ;        ;        ; Alessi              ;in OPD 18
Theia 252             ;Lup ;231.85853060 ;-51.2357087 ;Op   ;Str   ; 1155.3;    523;   -6.71;   -7.81;  -17.62; 2019AJ....158..122K ;check
ASCC 100              ;Lyr ;285.48833300 ;+33.4833330 ;Op   ;OC    ;  140.0;    362;        ;        ;        ; Alessi              ;?UPK 83
Theia 41              ;Mon ; 99.80901310 ; +9.7746426 ;Op   ;Str   ;  312.7;    715;   -1.98;   -3.94;   18.42; 2019AJ....158..122K ;contains UPK 400, Collinder 95
UPK 400               ;Mon ;100.21692120 ; +9.7766300 ;Op   ;OC    ;   52.8;    724;   -1.87;   -3.74;        ; 2019arXiv190706872S ;Escorial 9, FoF 2324, includes NGC 2264, NGC 2264 IRS 1, NGC 2264 IRS 2
