Name                  ;Cns ; RA          ; De         ;Wv   ;Typ   ;   Diam;   Dist;E(B-V);   Age;    pmRA;    pmDe;   RV   ; Reference           ;Aliases
Alessi_49             ;Car ;154.06666700 ;-57.3483330 ;Op   ;EC    ;    0.7;  10194;      ;      ;   -5.58;    3.28;        ; Alessi (Gaia DR2)   ;
Alessi_5              ;Car ;160.81900000 ;-61.0810000 ;Op   ;OC    ;   65.0;    400;  0.21;  7.73;  -15.41;    2.50;        ; 2020A&A...633A..99C ;UPK 561, FoF 2407
Alessi_50             ;Gem ; 95.51411500 ;+21.0707523 ;Op   ;OC    ;    3.1;   3534;  0.57;  9.10;    0.26;    1.27;        ; Alessi (Gaia DR2)   ;FSR 901
Alessi_52             ;Cru ;183.25880400 ;-62.7079765 ;Op   ;OC    ;    2.3;   5208;  1.05;  9.15;   -6.02;    0.56;        ; Alessi (Gaia DR2)   ;FSR 1606, VVV-CL 101
Alessi_53             ;Mon ; 97.35200000 ; +9.1800000 ;Op   ;OC    ;    2.6;   5051;  0.64;  7.00;    0.43;   -0.20;        ; 2020A&A...633A..99C ;DC 7, FSR 986
Alessi_56             ;Aql ;286.72298120 ; +9.5850305 ;Op   ;OC    ;    2.2;   3891;  2.19;  8.59;   -1.58;   -4.87;        ; Alessi (Gaia DR2)   ;Mercer 19
Alessi_57             ;Aql ;290.22527640 ;+15.6758354 ;Op   ;OC    ;    3.0;   5348;  1.87;  8.65;   -1.93;   -4.63;        ; Alessi (Gaia DR2)   ;FSR 130
Alessi_58             ;Gem ; 96.43928700 ;+19.9123588 ;Op   ;OC    ;    6.3;   3717;  0.50;  8.20;    0.12;   -1.07;        ; Alessi (Gaia DR2)   ;FSR 912
Alessi_59             ;Mon ;103.07800000 ; +2.1960000 ;Op   ;OC    ;    0.7;   4405;  0.77;  7.00;   -0.54;    0.28;        ; 2020A&A...633A..99C ;
Alessi_6              ;Cir ;220.05800000 ;-66.1270000 ;Op   ;OC    ;   35.3;    909;  0.19;  8.60;  -10.47;   -5.56;        ; 2020A&A...633A..99C ;Theia 996, UPK 597, FoF 2277
Alessi_60             ;Mon ;105.61900000 ; -1.1200000 ;Op   ;OC    ;    5.8;   2976;  0.21;  8.46;   -0.83;   -0.65;        ; 2020A&A...633A..99C ;FoF 1395
Alessi_62             ;Her ;284.02600000 ;+21.5970000 ;Op   ;OC    ;   30.7;    629;  0.17;  8.93;    0.24;   -1.07;        ; 2020A&A...633A..99C ;Theia 1131, UPK 58, FoF 2357
Alessi_63             ;Ser ;273.10749430 ;-15.3795434 ;Op   ;OC    ;    4.5;   1848;      ;      ;   -0.26;   -1.85;        ; Alessi (Gaia DR2)   ;
Alessi_72             ;CMa ;106.50833330 ;-16.0563889 ;Op   ;OC    ;   11.0;   3425;      ;      ;   -0.77;    1.11;        ; Alessi (Gaia DR2)   ;
Alessi_8              ;Nor ;232.40800000 ;-51.2270000 ;Op   ;OC    ;   26.9;    676;  0.09;  8.11;   -5.90;   -5.73;        ; 2020A&A...633A..99C ;Theia 335, UPK 619
Alessi_82             ;Cen ;197.45416670 ;-64.6383333 ;Op   ;OC?   ;   30.0;    581;      ;      ;  -10.77;   -7.12;        ; Alessi (Gaia DR2)   ;
Alessi_87             ;Ara ;256.19079170 ;-51.4102833 ;Op   ;OC    ;    6.0;   1075;      ;      ;   -1.06;   -1.46;        ; Alessi (Gaia DR2)   ;
Alessi_9              ;Ara ;265.97400000 ;-47.0280000 ;Op   ;OC    ;  207.6;    207;  0.10;  8.55;    9.92;   -9.16;        ; 2020A&A...633A..99C ;
Alessi_95             ;Cas ; 43.06250000 ;+68.8886111 ;Op   ;OC    ;   60.0;    453;  0.33;  7.76;    1.65;   -7.94;        ; Alessi (Gaia DR2)   ;Cas R1, SU Cas, Theia 123, UPK 275, FoF 2428
Alessi_J1145-6158     ;Cen ;176.44714050 ;-61.9668059 ;Op   ;OC    ;   17.3;   2088;      ;      ;   -6.82;    0.94;        ; Alessi (Gaia DR2)   ;
Alessi_J1933+1147     ;Aql ;293.43528070 ;+11.8042363 ;Op   ;OC    ;    5.5;    979;      ;      ;   -1.50;   -6.12;        ; Alessi (Gaia DR2)   ;
Alicante_3            ;Cas ;355.94900000 ;+62.1610000 ;Op   ;OC    ;    1.9;   3236;      ;  8.71;   -3.69;   -1.52;        ; 2020A&A...633A..99C ;FoF 1835
Alicante_6            ;Sct ;279.08125000 ; -6.6516667 ;Op   ;EC    ;    1.8;   3070;      ;      ;   -0.51;   -2.26;        ; Alessi (Gaia DR2)   ;G3CC 58, TC 1836-0639
Alicante_7            ;Aql ;281.12500000 ; -3.4833330 ;IR   ;RSG   ;    5.0;   3016;      ;  7.30;   -0.96;   -2.04;        ; Alessi (Gaia DR2)   ;RSGC 5
Alicante_8            ;Sct ;278.71250000 ; -7.2333330 ;IR   ;RSG   ;    7.0;   2345;      ;  7.26;    0.31;   -1.69;        ; Alessi (Gaia DR2)   ;RSGC 4
Alicante_9            ;Aql ;281.17916700 ; -3.2416670 ;IR   ;RSG   ;    4.5;   2597;      ;      ;   -0.94;   -2.05;        ; Alessi (Gaia DR2)   ;Masgomas-3, Ryu 268
Alves-Homeier_1       ;Aql ;287.57291700 ; +9.1058330 ;IR   ;EC    ;    1.4;  11111;      ;      ;   -2.88;   -5.41;        ; 2014ApJ...783..130R ;W49 Main, W49A-East, BDB 28
Andrews-Lindsay_1     ;Mus ;198.80800000 ;-65.9200000 ;Op   ;OC    ;    2.9;  22222;  0.62;  8.91;   -5.11;   -0.38;        ; 2020A&A...633A..99C ;BH 144, ESO 96-4
Andrews-Lindsay_3     ;Sgr ;273.52700000 ;-28.6350000 ;Op   ;GC    ;    9.6;   6280;  0.36; 10.05;    3.59;   -3.57;        ; 2019MNRAS.484.2832V ;BH 261, ESO 456-78
Andrews-Lindsay_5     ;Sct ;281.07900000 ; -4.9310000 ;Op   ;OC    ;    2.8;   7299;  2.42;  6.00;   -0.90;   -3.56;        ; 2020A&A...633A..99C ;
Antalova_2            ;Sco ;262.46200000 ;-32.5410000 ;Op   ;OC    ;   11.6;   1188;  3.73;  6.00;    2.04;   -1.65;        ; 2020A&A...633A..99C ;
Apriamasvili_1        ;Sct ;282.03600000 ; -5.8760000 ;Op   ;OC    ;    8.4;   1905;  0.54;  8.13;   -0.08;   -4.51;        ; 2020A&A...633A..99C ;Basel 1
Aqr_II                ;Aqr ;338.48000000 ; -9.3300000 ;Op   ;UFD   ;   10.2; 107900;      ;      ;   -0.25;    0.01;        ; Fritz et al. (2018) ;
Ara_OB1B              ;Ara ;250.98261090 ;-47.0882878 ;Op   ;OB    ;  438.2;   2203;      ;      ;   -0.84;   -2.60;        ; Alessi (Gaia DR2)   ;
