TODO: get all the true references behind 'BDCC' and padronize them all to bibcode format

Name                     ; Reference           ;E(B-V);  log_t
ASCC 62                  ; Kharchenko+ 2013    ; 0.531;  6.995
ASCC 63                  ; 2016DAML            ; 0.45 ;  7.24 
ASCC 63                  ; Kharchenko+ 2013    ; 0.791;  7.250
ASCC 64                  ; 2016DAML            ; 0.15 ;  7.92 
ASCC 64                  ; Kharchenko+ 2013    ; 0.150;  8.100
ASCC 65                  ; 2016DAML            ; 0.40 ;  7.09 
ASCC 65                  ; Kharchenko+ 2013    ; 0.521;  6.850
ASCC 66                  ; 2016DAML            ; 0.10 ;  7.76 
ASCC 66                  ; Kharchenko+ 2013    ; 0.100;  7.760
ASCC 67                  ; 2016DAML            ; 0.30 ;  7.67 
ASCC 67                  ; Kharchenko+ 2013    ; 0.300;  7.670
ASCC 68                  ; 2016DAML            ; 0.10 ;  8.65 
ASCC 68                  ; 2017AstBu..72..257L ; 0.197;  8.264
ASCC 68                  ; Kharchenko+ 2013    ; 0.094;  8.600
ASCC 69                  ; 2016DAML            ; 0.17 ;  7.91 
ASCC 69                  ; Kharchenko+ 2013    ; 0.171;  7.910
ASCC 7                   ; 2016DAML            ; 0.50 ;  7.36 
ASCC 7                   ; Kharchenko+ 2013    ; 0.450;  7.400
ASCC 70                  ; 2016DAML            ; 0.35 ;  6.92 
ASCC 70                  ; Kharchenko+ 2013    ; 0.468;  6.920
ASCC 71                  ; 2016DAML            ; 0.25 ;  7.88 
ASCC 71                  ; 2019 Bossini        ; 0.235;  8.051
ASCC 71                  ; Kharchenko+ 2013    ; 0.271;  8.000
ASCC 72                  ; 2016DAML            ; 0.16 ;  8.13 
ASCC 72                  ; Kharchenko+ 2013    ; 0.160;  8.205
ASCC 73                  ; 2016DAML            ; 0.05 ;  8.19 
ASCC 73                  ; Kharchenko+ 2013    ; 0.050;  8.190
ASCC 74                  ; 2016DAML            ; 0.05 ;  8.50 
ASCC 74                  ; Kharchenko+ 2013    ; 0.050;  8.630
ASCC 75                  ; 2016DAML            ; 0.30 ;  6.65 
ASCC 75                  ; Kharchenko+ 2013    ; 0.416;  6.650
ASCC 76                  ; 2016DAML            ; 0.27 ;  7.45 
ASCC 76                  ; Kharchenko+ 2013    ; 0.458;  7.750
ASCC 77                  ; 2016DAML            ; 0.30 ;  6.99 
ASCC 77                  ; Kharchenko+ 2013    ; 0.468;  6.750
ASCC 78                  ; 2016DAML            ; 0.00 ;  8.48 
ASCC 78                  ; Kharchenko+ 2013    ; 0.146;  9.380
ASCC 79                  ; 2016DAML            ; 0.16 ;  6.86 
ASCC 79                  ; Kharchenko+ 2013    ; 0.312;  6.950
ASCC 8                   ; 2016DAML            ; 0.55 ;  6.76 
ASCC 8                   ; 2017AstBu..72..257L ; 0.461;  7.900
ASCC 8                   ; Kharchenko+ 2013    ; 0.600;  7.770
ASCC 80                  ; 2016DAML            ; 0.17 ;  7.93 
ASCC 80                  ; Kharchenko+ 2013    ; 0.396;  8.375
ASCC 81                  ; 2016DAML            ; 0.15 ;  8.38 
ASCC 81                  ; Kharchenko+ 2013    ; 0.167;  8.750
ASCC 82                  ; 2016DAML            ; 0.00 ;  8.67 
ASCC 82                  ; Kharchenko+ 2013    ; 0.000;  8.600
ASCC 83                  ; 2016DAML            ; 0.15 ;  8.40 
ASCC 83                  ; Kharchenko+ 2013    ; 0.125;  8.100
ASCC 84                  ; 2016DAML            ; 0.15 ;  7.68 
ASCC 84                  ; Kharchenko+ 2013    ; 0.271;  7.850
ASCC 85                  ; 2016DAML            ; 0.20 ;  7.42 
ASCC 85                  ; Kharchenko+ 2013    ; 0.521;  7.500
ASCC 86                  ; 2016DAML            ; 0.12 ;  7.07 
ASCC 86                  ; 2019 Bossini        ; 0.121;  7.977
ASCC 86                  ; Kharchenko+ 2013    ; 0.187;  8.050
ASCC 87                  ; 2016DAML            ; 0.26 ;  8.52 
